time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,place,horizontalError,depthError,magError,magNst,tipo sismicidad
2019-09-01T14:50:09.593Z,-40.6,-72.024,92.67,4.4,mb,,95,0.127,0.73,us,us70005awx,"11 km SE of Copiapó, Chile",6,2.2,0.219,7,0
2019-08-29T17:58:49.360Z,-40.59,-71.88,139.2,4.1,mb,,78,0.249,1.21,us,us700059tk,"49 km NNW of Las Ovejas, Argentina",6.7,10,0.233,5,0
2019-08-29T14:31:28.754Z,-40.559,-71.403,30.71,4.2,mb,,161,0.688,0.95,us,us700059nx,"59 km WNW of Santa Cruz, Chile",3.1,8,0.235,5,1
2019-08-28T15:53:02.042Z,-40.546,-71.901,29.75,4.9,mww,,111,0.196,0.69,us,us70005966,"47 km SSW of Iquique, Chile",4,1.3,0.086,13,1
2019-08-25T10:48:11.223Z,-40.535,-72.158,14.23,4.3,mb,,180,0.616,0.55,us,us700057z3,"70 km NNW of Valparaíso, Chile",5.7,5.1,0.239,5,1
2019-08-24T02:33:00.295Z,-40.523,-72.377,60.36,4.8,mww,,51,0.332,1,us,us700057ru,"57 km SSW of Ovalle, Chile",5.4,4,0.073,18,0
2019-08-21T10:04:42.998Z,-40.516,-72.21,10,4.5,mb,,149,0.798,0.56,us,us600057vk,"90 km WSW of Vallenar, Chile",4.3,1.9,0.242,5,1
2019-08-20T17:04:47.231Z,-40.511,-71.781,78.81,4.1,mwr,,84,0.58,1.26,us,us600057jc,"65 km ENE of Antofagasta, Chile",5.5,5.9,0.056,31,0
2019-08-19T13:49:17.599Z,-40.502,-72.123,76.12,4.2,mb,,133,0.381,0.19,us,us600056yu,"72 km NE of La Serena, Chile",6.4,6.4,0.372,2,0
2019-08-17T09:18:21.509Z,-40.494,-72.137,30.34,4.3,mwr,,150,0.392,0.58,us,us600056dc,"33 km WSW of Coquimbo, Chile",4.1,4.9,0.037,69,1
2019-08-17T00:09:25.248Z,-40.491,-72.108,109.91,4.1,mb,,67,0.501,0.37,us,us600056ai,"24 km SSE of Molina, Chile",6.8,5.8,0.303,3,0
2019-08-15T14:23:40.423Z,-40.491,-72.093,10,4.9,mww,,153,0.765,1.15,us,us600055ei,"75 km W of Coquimbo, Chile",5.5,1.9,0.086,13,1
2019-08-14T21:33:11.479Z,-40.491,-71.936,29.58,4.3,mb,,121,0.097,0.6,us,us6000556w,"Near the coast of Tarapaca, Chile",4,2.2,0.16,11,1
2019-08-14T12:23:08.288Z,-40.486,-71.895,119.04,4.4,mb,,96,0.339,0.68,us,us600054xu,"76 km ESE of Arica, Chile",5.9,5.3,0.161,11,0
2019-08-13T11:13:41.035Z,-40.484,-72.116,35,4,mwr,,155,0.929,0.86,us,us600054gp,"72 km W of Taltal, Chile",5.1,2,,,1
2019-08-13T07:46:15.403Z,-40.476,-72.124,132.28,4.3,mwr,,67,0.152,0.57,us,us600054ff,"56 km SSE of Panguipulli, Chile",10.1,8.4,,,0
2019-08-12T21:40:19.465Z,-40.475,-72.123,97.27,4.5,mwr,,115,0.482,1.19,us,us6000549i,"112 km SE of Arica, Chile",4.8,6.1,,,0
2019-08-11T07:41:26.013Z,-40.466,-71.938,30.31,4,mwr,,164,0.604,0.73,us,us600053ne,"63 km NW of Taltal, Chile",3,5.6,0.047,43,1
2019-08-10T17:16:05.590Z,-40.465,-72.262,48.86,4.4,mwr,,128,0.662,0.74,us,us600053g8,"28 km WSW of Illapel, Chile",2.4,5.4,0.048,42,1
2019-08-09T02:09:36.277Z,-40.465,-72.219,83.07,4.7,mwr,,111,0.531,0.87,us,us600052ll,"36 km S of Salamanca, Chile",5.9,4.7,0.048,41,0
2019-08-02T17:58:51.408Z,-40.463,-72.11,26.87,4.1,mwr,,154,1.042,1.08,us,us60004zrd,"100 km WNW of Santa Cruz, Chile",4.3,5.6,0.044,50,1
2019-08-02T06:50:51.354Z,-40.459,-72.09,18.13,4.6,mwr,,132,0.871,0.51,us,us60004zan,"84 km SW of San Antonio, Chile",5.3,4.2,0.04,61,1
2019-08-02T06:41:42.594Z,-40.456,-71.741,14.31,4.6,mwr,,78,0.908,0.67,us,us60004zae,"90 km SW of San Antonio, Chile",5.2,5.6,0.04,60,1
2019-08-02T00:55:16.735Z,-40.444,-72.177,13.23,5.4,mww,,49,0.846,0.57,us,us60004z17,"84 km SW of San Antonio, Chile",3.9,2.8,0.06,27,1
2019-08-02T00:09:15.018Z,-40.439,-71.411,23.76,4.2,mwr,,134,0.906,0.72,us,us60004yze,"88 km SW of San Antonio, Chile",3.7,2.3,0.042,54,1
2019-08-01T20:01:28.233Z,-40.425,-71.812,15.41,5.6,mww,,80,0.886,0.63,us,us60004ys7,"100 km WNW of Santa Cruz, Chile",4.9,3.4,0.086,13,1
2019-08-01T19:36:25.649Z,-40.422,-72.302,10,4.9,mb,,76,0.713,0.76,us,us60004yrj,"85 km SW of San Antonio, Chile",4.8,1.9,0.059,89,1
2019-08-01T18:28:07.270Z,-40.42,-72.059,25,6.8,mww,,35,0.817,0.91,us,us60004yps,"96 km SW of San Antonio, Chile",5.1,1.8,0.045,48,1
2019-07-30T16:38:16.993Z,-40.42,-71.8,29.8,4.4,mb,,193,0.849,0.43,us,us60004xhe,"75 km WNW of Illapel, Chile",7.1,9.4,0.381,2,1
2019-07-26T23:22:26.294Z,-40.418,-72.118,10.47,4.1,mwr,,134,0.867,0.73,us,us60004w8g,"91 km NW of Coquimbo, Chile",2,4.9,0.043,52,1
2019-07-26T07:38:02.397Z,-40.413,-71.782,18.41,4.3,mwr,,117,0.855,0.75,us,us60004vs3,"89 km WNW of Iquique, Chile",3.6,4.8,0.048,41,1
2019-07-26T01:56:52.928Z,-40.4113,-71.905,38.23,4.3,mwr,,145,0.752,1.14,us,us60004vp6,"85 km W of Arica, Chile",7.4,9.9,,,1
2019-07-23T18:40:00.178Z,-40.401,-72.018,115.39,4.7,mb,,55,0.849,0.9,us,us60004u87,"41 km SW of Calingasta, Argentina",2.3,6.8,0.174,10,0
2019-07-21T07:29:19.089Z,-40.39,-72.108,104.79,4.3,mb,,101,0.276,0.55,us,us70004pz0,"50 km NNE of Salamanca, Chile",4.7,5.7,0.168,10,0
2019-07-17T20:03:42.064Z,-40.36,-71.782,35,4,mb,,175,0.566,0.74,us,us70004mjx,"22 km SW of Tocopilla, Chile",2.6,2,0.519,1,1
2019-07-17T19:35:15.185Z,-40.358,-71.95,36.44,4.1,ml,,196,0.328,0.56,us,us70004miy,"70 km SW of Ovalle, Chile",6.1,16.5,,,1
